39,OBALOVANE,"Obaĺované cibuľové krúžky +tzatziky dresing1,3,7",200/30g,3.5
40,FIT,Mix grill s kuracím steikom a volským okom +opekané zemiaky3,"200/100/100g, kuracie prsia, grilovacie korenie, olej, mix zelenina, zemiaky, volské oko",8.9
41,FIT,"Špíz z bravčovej panenky, ryža, cvíkla",150/150/30g,7.9
42,FIT,"Kurací špíz na dusenej brokolici, kari ryža",150/60/150g,7.9
43,FIT,"Labužnícka bezmäsitá misa + 1, 5 minerálka1,3,7","1100g, zemiakovo-zeleninové rösti(250g), obaĺovaný karfiol (200g), grilovaná zelenina (100g), (2×75g)obaľovaný syr, cibuľové krúžky (100g), pizza chlieb (250g), tatárska omáčka (75g)",15.9
44,RIZOTO,Milánske rizoto7,"300g, ryža, šafran, cibuľa, olivový olej, soľ, korenie, syr Parmezán, máslo",4.9
45,RIZOTO,Zeleninové rizoto s brokolicou7,"350g, ryža, šafran, cibuľa, olivový olej, soľ, korenie, syr Parmezán, zeleninová zmes",5.5
46,PIZZA_NORMAL,"Pizza Margherita klasik1,7","400g, pomodoro, syr Mozzarella, oregano",4
47,PIZZA_NORMAL,"Pizza Šunková klasik1,7","500g, pomodoro, syr Mozzarella, šunka, oregano",4.95
48,PIZZA_NORMAL,"Pizza Šampiňónová klasik1,7","450g, pomodoro, syr Mozzarella, šampiňóny, oregano",4.95
49,PIZZA_NORMAL,"Pizza Alte klasik1,7","600g, pomodoro, syr Mozzarella, šunka, saláma, olivy, chilli, kukurica, oregano",5.95
50,PIZZA_NORMAL,"Pizza Prosciutto klasik1,7","500g, pomodoro, syr Mozzarella, šunka Prosciutto Crudo",5.95
51,PIZZA_NORMAL,"Pizza Quasimodo klasik1,7","630g, pomodoro, syr Mozzarella, cibuľa, feferóny, saláma, klobása, paradajka, syr Niva, oregano",5.95
52,PIZZA_NORMAL,"Pizza Sedliacka klasik1,3,7","600g, pomodoro, syr Mozzarella, biela cibuľa, chilli, slanina, klobása, cesnak, vajce, oregano",5.95
53,PIZZA_NORMAL,"Pizza Diabolská klasik1,3,7","660g, pomodoro, syr Mozzarella, cibuľa, chilli, feferóny, baranie rohy, saláma, klobása, vajce, oregano",5.95
54,PIZZA_NORMAL,"Pizza Capri klasik1,7","550g, pomodoro, syr Mozzarella, šunka, šampiňóny, kukurica, oregano",5.95
55,PIZZA_NORMAL,"Pizza Salámová1,7","500g, pomodoro, syr Mozzarella, saláma, oregano",4.95
56,PIZZA_NORMAL,"Pizza Quattro klasik1,7","600g, pomodoro, syr Mozzarella, syr Ementál, syr Fetta, syr Niva, smotana, oregano",4.95
57,PIZZA_NORMAL,"Pizza Qattro so šunkou klasik1,7","700g, pomodoro, syr Mozzarella, syr Ementál, syr Fetta, syr Niva, šunka, smotana, oregano",5.95
58,PIZZA_NORMAL,"Pizza Calzone klasik(kapsa)1,7","550g, kapsa, pomodoro, šunka, saláma, kukurica, syr",5.95
59,PIZZA_NORMAL,"Pizza Enzo klasik1,3,7","600g, pomodoro, syr Mozzarella, syr Niva, plesnivec-Encián, bambino, vajce, oregano",6.47
60,PIZZA_NORMAL,"Pizza Hawai s kuracím mäsom klasik1,7","630g, pomodoro, syr Mozzarella, kuracie mäso, ananás, oregano",6.47
61,PIZZA_NORMAL,"Pizza Hawai so šunkou1,7","600g, pomodoro, syr Mozzarella, šunka, ananás, oregano",5.95
62,PIZZA_NORMAL,"Pizza Maestro klasik1,7","560g, smotana, syr Mozzarella, paradajka, olivy, bazalka, oregano",4.95
63,PIZZA_NORMAL,"Pizza Roma klasik1,3,7","680g, pomodoro, syr Mozzarella, šunka, vajce, šampiňóny, brokolica, olivy, oregano",6.47
64,PIZZA_NORMAL,"Pizza Max pikant klasik1,3,7","720g, pikantné pomodoro, saláma, syr Niva, syr Mozzarella, paradajka, chilli papričky",5.95
65,PIZZA_NORMAL,"Pizza Tunis klasik1,7","600g, pomodoro, syr Mozzarella, chilli, kuracie mäso, kukurica, oregano",6.47
66,PIZZA_NORMAL,"Pizza Vegetariana klasik1,7","700g, pomodoro, syr Mozzarella, kukurica, šampiňóny, paradajka, olivy, brokolica, Fetta, oregano",5.95
67,PIZZA_NORMAL,"Pizza Bambino klasik1,7","600g, pomodoro, syr Mozzarella, šunka, kukurica, oregano",4.95
68,PIZZA_NORMAL,"Pizza Tuniaková klasik1,4,7","600g, pomodoro, syr Mozzarella, cibuľa, tuniak, paradajka, oregano",5.95
69,PIZZA_NORMAL,"Pizza Liptovská klasik1,7","580g, smotana, syr Mozzarella, slanina, bryndza, cibuľa",5.95
70,PIZZA_BIG,"Pizza Margherita XXL1,7","800g, pomodoro, syr Mozzarella, oregano",7
71,PIZZA_BIG,"Pizza Šunková XXL1,7","1000g, pomodoro, syr Mozzarella, šunka, oregano",8.9
72,PIZZA_BIG,"Pizza Šampiňónová XXL1,7","1000g, pomodoro, syr Mozzarella, šampiňóny, oregano",8.9
73,PIZZA_BIG,"Pizza Alte XXL1,7","1150g, pomodoro, syr Mozzarella, šunka, saláma, olivy, chilli, kukurica, oregano",9.9
74,PIZZA_BIG,"Pizza Prosciutto veľká1,7","1000g, pomodoro, syr Mozzarella, šunka Prosciutto Crudo",11
75,PIZZA_BIG,"Pizza Quasimodo veľká1,7","1200g, pomodoro, syr Mozzarella, cibuľa, feferóny, saláma, klobása, paradajka, syr Niva, oregano",11
76,PIZZA_BIG,"Pizza Sedliacka veľká1,3,7","1200g, pomodoro, syr Mozzarella, biela cibuľa, chilli, slanina, klobása, cesnak, vajce, oregano",11
77,PIZZA_BIG,"Pizza Diabolská veľká1,3,7","1200g, pomodoro, syr Mozzarella, cibuľa, chilli, feferóny, baranie rohy, saláma, klobása, vajce, oregano",11
78,PIZZA_BIG,"Pizza Capri veľká1,7","1200g, pomodoro, syr Mozzarella, šunka, šampiňóny, kukurica, oregano",9.9
79,PIZZA_BIG,"Pizza Salámová veľká1,7","1000g, pomodoro, syr Mozzarella, saláma, oregano",8.9
80,PIZZA_BIG,"Pizza Quattro veľká1,7","1000g, pomodoro, syr Mozzarella, syr Ementál, syr Fetta, syr Niva, smotana, oregano",8.9
